Année;Championnat;Bassin;Code_Course;Type_Finale;Position;Temps;Club;Club_1;Club_2;Club_3;Club_4;Rameur_1;Rameur_2;Rameur_3;Rameur_4;Rameur_5;Rameur_6;Rameur_7;Rameur_8;Barreur
2022;SPRINTS 500m;Vaires-sur-Marne;SH8+;FB;1.0;01:22.62;Aviron Meulan-les-Mureaux-Hardricourt;AVIRON MEULAN LES MUREAUX HARDRICOURT;;;;Antoine LEFEBVRE;Ivan BOVE;Anthony LEFRESNE;Valentin LABORDE;Enzo LAMBOI DAGUET;Idriss OUTALBALI;Richard SILVESTRE;Quentin ETIENNE;Arthur LAMBOIDAGUET
2014;SPRINTS 500m;Gérardmer;SH4-;FA;5.0;01:22.63;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Theophile GABRIELE;Adrien MATHIAS;Lionel JACQUIOT;Morgan MAUNOIR;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SH4x;FA;4.0;01:22.67;Gravelines Aviron;GRAVELINES AVIRON;;;;Alexis FREVILLE;Adrien DECRIEM;Bastien QUIQUERET;Frederic LOORIUS;;;;;
2016;SPRINTS 500m;Gérardmer;SH8+;FB;1.0;01:22.68;Aviron Grenoblois;AVIRON GRENOBLOIS;;;;Clement ROULET DUBONNET;Loic LEZARME;Francois MARTY;Pierre D'AGATA;Jean NOURY;Franck LE MAUFF;Antoine LAGOUGE;Theo LUNATTI;Elsa TABOULET
2018;SPRINTS 500m;Vichy;SH8+;FC;1.0;01:22.69;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Alexandre ROGE-PECH;Baudouin DUDYCH;Ludovic LARUADE;Mathieu REY;Simon VILLAUME;Thibault FOTRE;Patrick DURANTE;Damien CREBASSA;Emma RIBETTE
2016;SPRINTS 500m;Gérardmer;SH8+;FB;2.0;01:22.71;Sport Nautique de Bergerac;SPORT NAUTIQUE DE BERGERAC;;;;Julien LAVAYSSIERE;Hermann LAMOUCHE;Steven ALAVOINE;Dimitri ROUSSEAUX;Quentin LAURIOU;Nicolas STENDER;Thomas DUVIGNACQ;Hadrien GODE;Roxane CHAUVIN
2017;SPRINTS 500m;Mantes-la-Jolie;SH4-;FA;1.0;01:22.73;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Mathieu SAUTEREAU;Mickael MARTEAU;Mathieu LE NEPVOU;Luke EPAIN;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FB;2.0;01:22.74;Sport Nautique d'Amiens;SPORT NAUTIQUE D'AMIENS;;;;Pierre FOBERT;Fabien GODART;Aurelien DELABIE;Loic BOULIO;Louis FROUARD;Aurelien BARBIER;Lucas HAAG;Thomas PERRIN;Clement TROGNEUX
2015;SPRINTS 500m;Mâcon;SH8+;FA;2.0;01:22.77;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Theophile ONFROY;Leo CASAGRANDE;Germain CHARDIN;Pierre GUERIN;Robinson DOUMIC;Alexandre BARTHE;Boris JEOFFRET;Sebastien RIETH;Emmanuel BUNOZ
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FB;3.0;01:22.81;Societe d'Encouragement du Sport Nautique;SOCIETE D'ENCOURAGEMENT DU SPORT NAUTIQUE;;;;Roman BURGUN;Helge DIETERT;Baptiste MARON;Dorian MORVAN;Hadrien HOUBERT;Antoine PERONNET;Frederic CAPLAN;Hugo MARTINEZ;Sandrine ROUX
2017;SPRINTS 500m;Mantes-la-Jolie;SH4x;FA;5.0;01:22.82;Club de l'Aviron de Vichy;CLUB DE L'AVIRON DE VICHY;;;;Baptiste SATURNIN;Guillaume TURLAN;Melvyn RECOT;Thibault MESLIN;;;;;
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FB;5.0;01:22.83;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Daniel KOSSAR;Benoit HEIB;Thomas ROBERT;Yannick THOMPSON;Patrick DURANTE;Nicolas GAUDIN;Benjamin RIPOLL;Guillaume TURLAN;Nina GEORGEOT
2013;SPRINTS 500m;Mantes-la-Jolie;SH4x;FA;4.0;01:22.85;Societe des Regates Messines;SOCIETE DES REGATES MESSINES;;;;Amaury DEMARETZ;Pierre LEGAY;Frederic NOSAL;Benjamin NOSAL;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;4.0;01:22.89;Sport Nautique de Bergerac;SPORT NAUTIQUE DE BERGERAC;;;;Nicolas DELAGE;Nicolas CHECHELSKI;Quentin LAURIOU;Quentin STENDER;Nicolas STENDER;Antoine PERDIGAL;Teo RAYET;Hadrien GODE;Roxane CHAUVIN
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FC;1.0;01:22.96;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Antoine CRUTEANSCHII;Lucien GONNET;Alain FERNANDEZ-FALCAND;Clement CADOT;Pascal PEYCLIT;Donatien VAAST;Aurele HUGON VERLINDE;Florent ARBIB;Elisa MARTIN
2017;SPRINTS 500m;Mantes-la-Jolie;SH4x;FB;2.0;01:22.96;Perpignan Aviron 66;PERPIGNAN AVIRON 66;;;;Jean-Pierre IZART;Paul-Antoine RICARD;Alexandre CORDONNIER;Jean-Christophe TRONEL;;;;;
2016;SPRINTS 500m;Gérardmer;SH8+;FA;6.0;01:22.97;Aviron Bayonnais;AVIRON BAYONNAIS;;;;Mathieu GAUVRIT;Benoit MARTINAUD;Jonathan BERTRAND;William CAZALE;Marcos MORALES;Romain GARCIA;Julien MONTET;Maxime BELLON;Roxane LANDAIS
2014;SPRINTS 500m;Gérardmer;SH4x;FA;5.0;01:22.98;Cercle Nautique de Mimizan;CERCLE NAUTIQUE DE MIMIZAN;;;;Achille AZTIRIA;Damien WILD;Cesar AZTIRIA;Sebastien CAULE;;;;;
2015;SPRINTS 500m;Mâcon;SH8+;FA;3.0;01:22.98;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Romain BOUTRON;Charles LASCAUX;Yoann GUIGNET;Nicolas GAUDIN;Thibaud TURLAN;Paul BOUGON;Jean-Gabriel DUPEUX;Benjamin LANG;Camille MARTIN
2014;SPRINTS 500m;Gérardmer;SH8+;FB;4.0;01:23.01;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Florentin LONGUERE;Yannick THOMPSON;Benjamin RIPOLL;Patrick DURANTE;Sylvain LIVERNOIS;Benoit HEIB;Thibaud TURLAN;Nicolas GAUDIN;Camille MARTIN
2023;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;3.0;01:23.01;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Benjamin DAVID;Antoine GAILLAC;Pierre HUBERT;Luca PESCE;Charles L'ALEXANDRE;Thierry DELORY;Hugo KLIMACEK;Luke EPAIN;Rose GALLEN
2018;SPRINTS 500m;Vichy;SH8+;FB;3.0;01:23.05;Societe d'Encouragement du Sport Nautique;SOCIETE D'ENCOURAGEMENT DU SPORT NAUTIQUE;;;;Hugo MARTINEZ;Etienne AUGUSTIN;Arthur LOY;Arnaud DELABRIERE;Antoine PERONNET;Hugo DUPETY;Baptiste MARON;Romain DELACHAUME;Matthieu VARENNE
2017;SPRINTS 500m;Mantes-la-Jolie;SH4-;FA;2.0;01:23.05;Boulogne 92;BOULOGNE 92;;;;Ismael BOURENNANE;Leo GRANDSIRE;Thibaut MAMES;Emile SARDA;;;;;
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FC;3.0;01:23.09;Societe Nautique de Bayonne;SOCIETE NAUTIQUE DE BAYONNE;;;;Benjamin CHATELAIN;Gillen LURO;Joel ETCHAIDE;Olivier LARIGAUDERIE;Fabien THIEBAULT;Benjamin LAFFOURCADE;Michael CHASSAGNE;Damien VELLA;Morgane CHATELAIN
2024;SPRINTS 500m;Vichy;SH8+;FC;1.0;01:23.09;Sport Nautique Compiegnois;SPORT NAUTIQUE COMPIEGNOIS;;;;Jules DELCOURT;Nicolas JAZEDE;Aymeric ULRICH;Etienne FRANCOIS;Eliot GAY;Jean TRICLIN;Olivier ONDET;Benjamin MULLER;Amira LAAROUSSI
2018;SPRINTS 500m;Vichy;SH4-;FA;1.0;01:23.09;Aviron Grenoblois;AVIRON GRENOBLOIS;;;;Edouard JONVILLE;Antoine LAGOUGE;Francois MARTY;Ondra ZEMAN;;;;;
2022;SPRINTS 500m;Vaires-sur-Marne;SH4x;FA;1.0;01:23.09;Sport Nautique de Nancy;SPORT NAUTIQUE DE NANCY;;;;Valerian LUCIEN;Gabriel BOBILLIER;Benjamin HAGUENAUER;Hugo BEUREY;;;;;
2014;SPRINTS 500m;Gérardmer;SH8+;FB;5.0;01:23.12;Club de l'Aviron de Vichy;CLUB DE L'AVIRON DE VICHY;;;;Louis DROISSART;Nicolas GILBERT;Alexis THIVOLET;Rodolphe JANODET;Romain SERRAILLE;Matthew KAC;Vincent DEVULDER;Nicolas PURIER;Alice DROISSART
2017;SPRINTS 500m;Mantes-la-Jolie;SH4-;FA;3.0;01:23.15;Societe d'Encouragement du Sport Nautique;SOCIETE D'ENCOURAGEMENT DU SPORT NAUTIQUE;;;;Arthur LOY;Michael MEYER;Valentin COLSON;Romain DELACHAUME;;;;;
2022;SPRINTS 500m;Vaires-sur-Marne;SH4x;FA;2.0;01:23.17;Entente Nautique d'Aix-les-Bains Aviron;ENTENTE NAUTIQUE D'AIX LES BAINS AVIRON;;;;Yoann LAMIRAL;Maël VITTET;Clement ASSIER;Francois TEROIN;;;;;
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FC;4.0;01:23.18;Aviron Club de Lyon-Caluire;AVIRON CLUB DE LYON CALUIRE;;;;Tibor LAPOURRE;Jean HUCK;Pierre LENOIR;Camille TOLLET;Maxence TOLLET;Corentin TOLLET;Bastien TOLLET;Julien SANDOVAL;Maxime BARDIN
2014;SPRINTS 500m;Gérardmer;SH8+;FB;6.0;01:23.19;Sport Nautique Compiegnois;SPORT NAUTIQUE COMPIEGNOIS;;;;Paul-Felix BRESSON;Jerome DAUBECH;Marc BRISSON;Valentin BERLEUX;Baptiste ROIATTI;Mickael MOLINA;Antoine VATAN;Mickael GUESNIER;Marie BOUINIERE
2017;SPRINTS 500m;Mantes-la-Jolie;SM8+ 50%H/F;FA;1.0;01:23.24;Union Sportive de Toul Aviron;UNION SPORTIVE DE TOUL AVIRON;;;;Justine LECOMTE;Cecile DUBUISSON;Sandie WEBER;Isaline THIRIOT;Matthieu DEMANGE;Gatien DIDRY;Jordan LEQUY;Arnaud PETITJEAN;Thomas PAQUIER
2021;SPRINTS 500m;Mantes-la-Jolie;SH4-;FA;1.0;01:23.24;Sport Nautique Compiegnois;SPORT NAUTIQUE COMPIEGNOIS;;;;Aymeric ULRICH;Liam BRISSON;Marc BRISSON;Philippe MANGOT;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SH4x;FB;3.0;01:23.27;Club Nautique et Athletique de Rouen;CLUB NAUTIQUE ET ATHLETIQUE DE ROUEN;;;;Benoit ROBIN;Tristan LARCHEVEQUE;Antoine JEGOUSSE;Philippe MANGOT;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SH4x;FE;1.0;01:23.27;Club Nautique de Nice;CLUB NAUTIQUE DE NICE;;;;Francois MAURY;Thibault DISS;Gael CHOCHEYRAS;Romain RAVERA;;;;;
2014;SPRINTS 500m;Gérardmer;SH4x;FB;1.0;01:23.29;Societe des Regates Messines;SOCIETE DES REGATES MESSINES;;;;Silvere BARDE;Pierre LEGAY;Frederic NOSAL;Benjamin NOSAL;;;;;
2013;SPRINTS 500m;Mantes-la-Jolie;SM8+ 50%H/F;FA;1.0;01:23.30;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Christelle SCHULTE;Clemence WILLAUME;Charline RONDEAU;Sebastien RIETH;Thibaut VERHOEVEN;Benjamin RONDEAU;Germain CHARDIN;Violaine BONNIN;Melanie LELIEVRE
2022;SPRINTS 500m;Vaires-sur-Marne;SH4x;FA;3.0;01:23.39;Aviron Union Nautique de Villefranche;AVIRON UNION NAUTIQUE DE VILLEFRANCHE;;;;Eddy COLAS;Maxence VOLAY;Marc-Antoine BONNET;Hugo PIJARD;;;;;
2014;SPRINTS 500m;Gérardmer;SH4x;FB;2.0;01:23.40;Aviron Bayonnais;AVIRON BAYONNAIS;;;;Kevin RAFFRAY;William CAZALE;Maxime BELLON;Matthieu ANDRODIAS;;;;;
2014;SPRINTS 500m;Gérardmer;SH4x;FA;6.0;01:23.41;Societe d'Encouragement du Sport Nautique;SOCIETE D'ENCOURAGEMENT DU SPORT NAUTIQUE;;;;Frederic CAPLAN;Julien DELACHAUME;Thomas FADIÉ;Romain DELACHAUME;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SH4-;FA;4.0;01:23.42;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Damien MARTIN;Merlin BONNEVAY;Morgan MAUNOIR;Alexis GUERINOT;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;5.0;01:23.42;Club Nautique et Athletique de Rouen;CLUB NAUTIQUE ET ATHLETIQUE DE ROUEN;;;;Hugues LARCHEVEQUE;Pierrick VERGER;Simon VANDERCOILDEN;Tristan LARCHEVEQUE;Alexandre LOUBEYRE;Benoit ROBIN;Louis PRUVOST;Antoine JEGOUSSE;Chloe LESOURD
2025;SPRINTS 500m;Libourne;SH8+;FA;5.0;01:23.45;Cercle Nautique d'Annecy;CERCLE NAUTIQUE D'ANNECY;;;;Nathan NOUS;Robin NOUS;Tom PUYBARAUD;Alban COUTURIER;Victor COCHARD;Maxime SENOUILLET;Clement MICHELLOD;Mathias DESUZINGE;Noelie BURDIN
2018;SPRINTS 500m;Vichy;SH4x;FA;1.0;01:23.48;Aviron Union Nautique de Villefranche;AVIRON UNION NAUTIQUE DE VILLEFRANCHE;;;;Marc-Antoine BONNET;Hugo PIJARD;Davy PHILIBERT;Guillaume ROCHET;;;;;
2016;SPRINTS 500m;Gérardmer;SH8+;FB;3.0;01:23.49;Societe Nautique de Lagny;SOCIETE NAUTIQUE DE LAGNY;;;;Diane DELALLEAU;Luka DORDEVIC;Miljan VUKOVIC;Etienne AUGUSTIN;Baptiste MARON;Ismael BOURENNANE;Hugo DUPETY;Bruno LUCAS;Virginie VALLET
2015;SPRINTS 500m;Mâcon;SH8+;FA;4.0;01:23.50;Aviron Bayonnais;AVIRON BAYONNAIS;;;;Mathieu GAUVRIT;Tristan LAUTRETTE;Jonathan BERTRAND;Matthieu ANDRODIAS;Romain GARCIA;William CAZALE;Julien MONTET;Maxime BELLON;Elsa BETACHET
2016;SPRINTS 500m;Gérardmer;SH4-;FA;1.0;01:23.54;Club Nautique et Athletique de Rouen;CLUB NAUTIQUE ET ATHLETIQUE DE ROUEN;;;;Tristan LARCHEVEQUE;Antoine JEGOUSSE;Daniel MAISSE;Jean-Baptiste BOUILLANT;;;;;
2022;SPRINTS 500m;Vaires-sur-Marne;SH8+;FA;6.0;01:23.63;Aviron Club de Lyon-Caluire;AVIRON CLUB DE LYON CALUIRE;;;;Léon PIGNOT DUBOST;Maxence TOLLET;Alexandre GILLERY;Vincent NOIROT;Guillaume JENNEQUIN;Yann DUPUIS;Nicolas SAYN;Thomas BERTHOUD;Andrea DEVILLE
2016;SPRINTS 500m;Gérardmer;SM8+ 50%H/F;FA;2.0;01:23.65;Societe Nautique de Caen et du Calvados;SOCIETE NAUTIQUE DE CAEN ET DU CALVADOS;;;;Jeremy BRUNET;Raphael JUGE;Privel HINKATI;Donatien MORVAN;Esther LOFGREN;Camille LECLERC;Caroline COLIN;Delphine CAVOIT;Romain PAIGNON
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FC;5.0;01:23.65;Aviron Saint-Quentinois;AVIRON SAINT QUENTINOIS;;;;Andrey AKSENOV;Antoine GIRONDE;Basile DECARSIN;Romain DELAPLACE;Augustin LACCOURS;Thibaud MISMAQUE;Arnaud JESSON;Lucas LOUIS;Josephine CORNUT DANJOU
2025;SPRINTS 500m;Libourne;SH8+;FB;1.0;01:23.67;Entente Nautique d'Aix-les-Bains Aviron;ENTENTE NAUTIQUE D'AIX LES BAINS AVIRON;;;;Valentin VIAL;Jean NOURY;Clement ASSIER;Quentin VERDENAL;Thomas VILLAIN;Emile MOIRON;Nicolas ARMENJON;Baptiste SAVAETE;Garance CAUET
2025;SPRINTS 500m;Libourne;SH8+;FA;6.0;01:23.69;Societe Nautique du Perreux;SOCIETE NAUTIQUE DU PERREUX;;;;Remi DAVAU;Youenn MERAPPERE;Thomas HERSCOVICI;Pierre PICQUET EGLY;Valerian SCHNEGGENBURGER;Jules CHABOISSIER;Baptiste HAUTIN;Guillermo GONZALEZ;Maitena MATEUS
2013;SPRINTS 500m;Mantes-la-Jolie;SH4-;FA;1.0;01:23.78;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Theophile GABRIELE;Adrien MATHIAS;Lionel JACQUIOT;Morgan MAUNOIR;;;;;
2018;SPRINTS 500m;Vichy;SH4-;FA;2.0;01:23.78;Club Nautique et Athletique de Rouen;CLUB NAUTIQUE ET ATHLETIQUE DE ROUEN;;;;Tristan LARCHEVEQUE;Pierrick VERGER;Benoit ROBIN;Antoine JEGOUSSE;;;;;
2018;SPRINTS 500m;Vichy;SH4x;FA;2.0;01:23.78;Cercle Nautique de Mimizan;CERCLE NAUTIQUE DE MIMIZAN;;;;Philippe LIGER;Achille AZTIRIA;Cesar AZTIRIA;Sebastien CAULE;;;;;
2018;SPRINTS 500m;Vichy;SH4x;FB;1.0;01:23.79;Saint Nazaire Olympique Sportif Aviron;SAINT NAZAIRE OLYMPIQUE SPORTIF AVIRON;;;;Romain VINCE;Alexandre JAUNET;Mickael MARTEAU;Vincent GUIHARD;;;;;
2013;SPRINTS 500m;Mantes-la-Jolie;SH4x;FA;5.0;01:23.80;Club Olympique Multisports d'Argenteuil;CLUB OLYMPIQUE MULTISPORTS D'ARGENTEUIL;;;;Stephane ALLAIN;Ronan MATHIEU;Jimmy BEIGNON;Remi DI GIROLAMO;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;4.0;01:23.83;Aviron Marne et Joinville;AVIRON MARNE ET JOINVILLE;;;;Allan HUYGHE;Nicolas BIRONNEAU;Alexandre ROUVEAU;Romain VALETTE;Raphael LAVAL;Romain DELACHAUME;Antonin LEPREVOST;Hugo DELFAU;Bilal HASSANI
2017;SPRINTS 500m;Mantes-la-Jolie;SH4-;FA;5.0;01:23.85;Club Nautique de Libourne 1876;CLUB NAUTIQUE DE LIBOURNE;;;;Thomas GOUZOU;Romain LAROCHE;Arnaud RAZAT;Anthony MARCHE;;;;;
2018;SPRINTS 500m;Vichy;SH8+;FB;4.0;01:23.87;Aviron Toulousain;AVIRON TOULOUSAIN;;;;Etienne BRAZIER;Theo SOIZEAU;Jean HAGOLLE;Miklos ANGYAN;Paul BERNARDIS;Anthony PERROT;Alexandre BARSSE;Benjamin PAYZAN;Loic PONSOLLE
2014;SPRINTS 500m;Gérardmer;SM8+ 50%H/F;FA;1.0;01:23.91;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Anna PIVETEAU-HURTIN;Auriane DION;Charlene MALABOEUF;Marie TAVERNIER;Guillaume RAINEAU;Mickael MARTEAU;Mathieu LE NEPVOU;Vincent FAUCHEUX;Maurice POTROS
2015;SPRINTS 500m;Mâcon;SH8+;FA;5.0;01:23.92;Sport Nautique de Bergerac;SPORT NAUTIQUE DE BERGERAC;;;;Louis DESPRES;Nicolas STENDER;Quentin LAURIOU;Dimitri ROUSSEAUX;Valentin GENESTE;Jeanpaul VERGNES;Quentin STENDER;Guillaume AMPE;Lisa ROUSSEAUX
2024;SPRINTS 500m;Vichy;SH8+;FA;6.0;01:23.92;Aviron Club de Lyon-Caluire;AVIRON CLUB DE LYON CALUIRE;;;;Maxence TOLLET;Vincent NOIROT;Constant LHERITIER;Pierre ALOUI;Hugo MARTIN;Alexandre MACIOCE;Yann DUPUIS;William CADET;Thibault MINCK-TARDY
2013;SPRINTS 500m;Mantes-la-Jolie;SH4x;FB;1.0;01:23.99;Societe d'Encouragement du Sport Nautique;SOCIETE D'ENCOURAGEMENT DU SPORT NAUTIQUE;;;;Frederic CAPLAN;Antoine PERONNET;Thomas FADIÉ;Romain DELACHAUME;;;;;
2014;SPRINTS 500m;Gérardmer;SH4x;FB;3.0;01:23.99;Societe Nautique d'Avignon;SOCIETE NAUTIQUE D'AVIGNON;;;;Guillaume BEC;Antoine GAILLAC;Maxime GOISSET;Gilles EYMARD-DUVERNAY;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FB;4.0;01:24.00;Cercle Nautique des Regates Remoises;CERCLE NAUTIQUE DES REGATES REMOISES;;;;Clement EMERY;Olivier KUKULJAN;Leo MAGONI;Etienne SARAZIN;Sean VEDRINELLE;Stanislas DESGRIPPES;Florian BUSSON;Benoit BUSSON;Audrey DULOQUIN-ROSIER
2014;SPRINTS 500m;Gérardmer;SH4-;FA;6.0;01:24.02;Aviron Marne et Joinville;AVIRON MARNE ET JOINVILLE;;;;Matthieu CHAPRON;Yvan DESLAVIERE;Valentin COLSON;Arnauld DAMOISEAU;;;;;
2014;SPRINTS 500m;Gérardmer;SM8+ 50%H/F;FA;2.0;01:24.02;Aviron Grenoblois;AVIRON GRENOBLOIS;;;;Loic LEZARME;Antoine LAGOUGE;Pierre D'AGATA;Francois MARTY;Noemie KOBER;Lea DURET;Alison CHEVALLIER;Laura TARANTOLA;Lise VAUZELLE
2016;SPRINTS 500m;Gérardmer;SH4-;FA;2.0;01:24.02;Club Nautique de Libourne 1876;CLUB NAUTIQUE DE LIBOURNE;;;;Thomas GOUZOU;Arnaud RAZAT;Romain LAROCHE;Anthony MARCHE;;;;;
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FB;6.0;01:24.05;Aviron Grenoblois;AVIRON GRENOBLOIS;;;;Edouard JONVILLE;Clement DURET;Pierre D'AGATA;Francois MARTY;Loic LEZARME;Nicolas LEGUAY;Franck LE MAUFF;Guillaume CAS;Suzy BOLLIET
2016;SPRINTS 500m;Gérardmer;SH4x;FA;1.0;01:24.07;Cercle Nautique de Mimizan;CERCLE NAUTIQUE DE MIMIZAN;;;;Damien WILD;Achille AZTIRIA;Cesar AZTIRIA;Sebastien CAULE;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FC;2.0;01:24.08;Aviron Majolan;AVIRON MAJOLAN;;;;Pierre ERBACHER;Corentin CONSTANZA;Vincent CHAINTREUIL;Julien GADOUD;Thibault HALEPIAN;Maxime DEMONTFAUCON;Julien MONVENEUR;Thibault REMY;Lawry COUSTILLAS
2022;SPRINTS 500m;Vaires-sur-Marne;SH8+;FB;2.0;01:24.08;Aviron Saint-Quentinois;AVIRON SAINT QUENTINOIS;;;;Adrien FOURNIER;Eliott CREPIN;Jules MERCIER;Brice LEPOLARD;Benoit BRUNET;Aubin MACQUART;Hugo CAILLEUX;Remi LEPOLARD;Aristote CREPIN
2024;SPRINTS 500m;Vichy;SH8+;FB;1.0;01:24.08;Aviron Tours Metropole;AVIRON TOURS METROPOLE;;;;Tristan BOURDET;Raphael GIRAULT;Mayeul POTIN;Geoffrey LAUDE;Pierre Louis CHATAIN;Benjamin GICQUEAU;David DENNEVAULT;Pierre JEAN;Elisabeth BRETT
2018;SPRINTS 500m;Vichy;SH4-;FA;3.0;01:24.09;Boulogne 92;BOULOGNE 92;;;;Emile SARDA;Victor FAUGER;Thibaut MAMES;Milos STANOJEVIC;;;;;
2014;SPRINTS 500m;Gérardmer;SH4-;FB;1.0;01:24.14;Aviron Saint-Quentinois;AVIRON SAINT QUENTINOIS;;;;Aubin MACQUART;Arnaud JESSON;Sebastien LENTE;Charles DELVAL;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SM8+ 50%H/F;FA;2.0;01:24.15;Aviron Union Nautique de Lyon;AVIRON UNION NAUTIQUE DE LYON;;;;Julie MATHIEU;Flavie BAHUAUD;Romain CHASTEL;Victor GENANS;Franck SOLFOROSI;Antoine FOURNET;Eleonore DUBUIS;Marion COLARD;Dorian CAZALIS
2024;SPRINTS 500m;Vichy;SH4x;FA;1.0;01:24.15;Aviron Union Nautique de Villefranche;AVIRON UNION NAUTIQUE DE VILLEFRANCHE;;;;Marc-Antoine BONNET;Hugo PIJARD;Eddy COLAS;Maxence VOLAY;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FB;5.0;01:24.18;Angers Nautique Aviron;ANGERS NAUTIQUE AVIRON;;;;Anthonin HINSCHBERGER-BOCHER;Joshua NOEL COUSIN;Christophe AIRAUD;Taoufik LIMAMI;Guillaume GUERY;Matthieu PAPIN;Paul SALAT;Cyprien FLORENT;Leonie BERGUE
2013;SPRINTS 500m;Mantes-la-Jolie;SH4x;FA;6.0;01:24.19;Gravelines Aviron;GRAVELINES AVIRON;;;;Gabriel CAUDRON;Simon AVERLANT;Frederic LOORIUS;Adrien DECRIEM;;;;;
2018;SPRINTS 500m;Vichy;SH8+;FC;2.0;01:24.19;Cercle Nautique d'Annecy;CERCLE NAUTIQUE D'ANNECY;;;;Camille CERISIER;Hugo GHEORGHIU;Nils LAYDEVANT;Guillaume GRAFF;Remi RUBINDELANCHY;Tom PUYBARAUD;Nathan NOUS;Robin NOUS;Ambre MOTA
2016;SPRINTS 500m;Gérardmer;SM8+ 50%H/F;FA;3.0;01:24.22;Boulogne 92;BOULOGNE 92;;;;Vincent FAUCHEUX;Romain BEURET;Yvan DESLAVIERE;Nikola SIMOVIC;Laura FAU;Marie TAVERNIER;Oriane GABALI;Emmelieke ODUL;Julien WEBER CORVIOLE
2017;SPRINTS 500m;Mantes-la-Jolie;SH4x;FB;4.0;01:24.25;Sport Nautique de Nancy;SPORT NAUTIQUE DE NANCY;;;;Valerian LUCIEN;Theodor LEMERLE;Vincent ROBINOT;Hugo BEUREY;;;;;
2022;SPRINTS 500m;Vaires-sur-Marne;SH8+;FB;3.0;01:24.25;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Hugo KLIMACEK;Sydney BRUGIER-ASSASSIN;Charles L'ALEXANDRE;Yves HOCDE;Hugo LECOT;Martin COLLIARD;Jean HAGOLLE;Emmanuel LAMOTHE;Axelle LE DU
2021;SPRINTS 500m;Mantes-la-Jolie;SH4-;FA;2.0;01:24.28;Cercle Nautique de Melun;CERCLE NAUTIQUE DE MELUN;;;;Johan YVON;Pierre MINNITI;Valentin LOURDEZ;Antoine FARGES;;;;;
2014;SPRINTS 500m;Gérardmer;SH8+;FC;1.0;01:24.36;Universite de Nantes Aviron;UNIVERSITE DE NANTES AVIRON;;;;Benjamin ROUSSEAU;Jeanbruno MOUGEL;Benjamin CORNUEL;Arthur LORENT;Sylvain CLISSON;Mickaël TARDY;David ARNAUD;Corentin DOBRAL;Camille DURAND
2018;SPRINTS 500m;Vichy;SH8+;FB;5.0;01:24.37;Entente Nautique d'Aix-les-Bains Aviron;ENTENTE NAUTIQUE D'AIX LES BAINS AVIRON;;;;Louis MORIN;Felix DUCLOS;Nicolas ARMENJON;Clement ASSIER;Theo RENAUD;Valentin VIAL;Pierre BOTTERO;Thomas CHUZEL;Matheo ALLEMAND
